Range,Tof,Vel,Temp,Den,CrWind,Ctemp,bWgt,vinc,vdec,hw,tw,winc,wdec,htwind,elevation
100,0.2,479,15,1.225,0,21,43.1,-0.4,0.4,0,0,-1,1,0,2.3
200,0.4,479,15,1.225,0,21,43.1,-0.6,0.6,0,0,-2,2,0,3.1
300,0.7,479,15,1.225,0,21,43.1,-0.6,0.8,0,0,-2,2,0,3.6
400,0.9,479,15,1.225,0,21,43.1,-0.7,1,0,0,-3,7,0,4.4
500,1.1,479,15,1.225,0,21,43.1,-1.3,1.3,0,0,-9,9,0,7.8
600,1.3,479,15,1.225,0,21,43.1,-2.2,1.8,0,0,-15,11,0,11
700,1.6,479,15,1.225,0,21,43.1,-2.4,2.4,0,0,-17,17,0,13.9
800,1.8,479,15,1.225,0,21,43.1,-3,2.6,0,0,-23,18,0,16.9
900,2,479,15,1.225,0,21,43.1,-3.5,3.4,0.1,-0.1,-24,19,0,19.7
1000,2.2,479,15,1.225,0,21,43.1,-3.7,3.9,0.1,-0.1,-25,25,0,21
1100,2.4,479,15,1.225,0,21,43.1,-4.2,4,0.1,-0.1,-26,26,0,23.7
1200,2.6,479,15,1.225,0,21,43.1,-4.7,4.5,0.1,-0.1,-31,27,0,26.4
1300,2.9,479,15,1.225,0,21,43.1,-4.8,4.7,0.1,-0.1,-28,32,0,29
1400,3.1,479,15,1.225,0,21,43.1,-5.3,5.2,0.1,-0.1,-34,33,0,31.8
1500,3.4,479,15,1.225,0,21,43.1,-5.8,5.6,0.2,-0.2,-38,34,0,34.5
1600,3.6,479,15,1.225,0,21,43.1,-6.2,6.1,0.2,-0.2,-39,35,0,37.2
1700,3.8,479,15,1.225,0,21,43.1,-6.4,6.5,0.3,-0.2,-40,40,0,39.9
1800,4.1,479,15,1.225,0,21,43.1,-6.8,6.6,0.2,-0.3,-41,45,0,42.7
1900,4.3,479,15,1.225,0,21,43.1,-7.2,7.1,0.3,-0.3,-46,42,0,45.5
2000,4.6,479,15,1.225,0,21,43.1,-7.7,7.2,0.3,-0.4,-47,46,0,48.4
2100,4.8,479,15,1.225,0,21,43.1,-7.8,7.6,0.4,-0.5,-51,47,0,51.3
2200,5.1,479,15,1.225,0,21,43.1,-8.2,8,0.4,-0.4,-48,52,0,54.2
2300,5.4,479,15,1.225,0,21,43.1,-8.4,8.4,0.5,-0.5,-52,52,0,57.1
2400,5.6,479,15,1.225,0,21,43.1,-8.8,8.6,0.5,-0.6,-57,53,0,60.1
2500,5.9,479,15,1.225,0,21,43.1,-9.2,9,0.5,-0.7,-54,57,0,63.2
2600,6.2,479,15,1.225,0,21,43.1,-9.9,9.4,0.6,-0.7,-58,58,0,67.8
2700,6.4,479,15,1.225,0,21,43.1,-10,9.8,0.7,-0.8,-59,62,0,70.9
2800,6.7,479,15,1.225,0,21,43.1,-10.4,10.1,0.8,-0.7,-59,62,0,74.1
2900,7,479,15,1.225,0,21,43.1,-10.5,10.5,0.8,-0.9,-63,63,0,77.1
3000,7.3,479,15,1.225,0,21,43.1,-11.1,10.6,0.9,-0.9,-63,63,0,80.3
